"Family","Subfamily","Genus","Species","Junior synonyms","Country (type locality)","Subregion","Region","Type locality"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Pacal, Reddell & Cokendolpher 1995","P. trilobatus, (Rowland 1975)","Schizomus trilobatus, Rowland, 1975; Rowland & Reddell, 1979b","Mexico","Mexico","New World","Las Grutas del Coconá, 3 km NE of Teapa, Tabasco, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Piaroa, Manzanilla, Giupponi & Tourinho 2008","P. bacata, Moreno-González, Delgado-Santa & Armas, 2014",NA,"Colombia","South America","New World","Cachipay, Cundinamarca, Colombia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Piaroa, Manzanilla, Giupponi & Tourinho 2008","P. bijagua, Armas & Víquez, 2009",NA,"Costa Rica","Central America","New World","Albergue Heliconias, Bijagua, Upala, Alajuela, Costa Rica"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Piaroa, Manzanilla, Giupponi & Tourinho 2008","P. escalerete, Moreno-González, Delgado-Santa & Armas, 2014",NA,"Colombia","South America","New World","San Cipriano, Buenaventura, Valle del Cauca, Colombia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Piaroa, Manzanilla, Giupponi & Tourinho 2008","P. guipongai, Villarreal & García, 2012",NA,"Colombia","South America","New World","Mariquita, Tolima, Colombia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Piaroa, Manzanilla, Giupponi & Tourinho 2008","P. hoyosi, Delgado-Santa & Armas, 2013",NA,"Colombia","South America","New World","Piedra La Felina, La Dorada, Caldas, Colombia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Piaroa, Manzanilla, Giupponi & Tourinho 2008","P. pioi, Villarreal, Armas & García, 2014",NA,"Venezuela","South America","New World","Cerro Galicia, Sierra de San Luis, Falcón, Venezuela"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Piaroa, Manzanilla, Giupponi & Tourinho 2008","P. turbacoensis, Segovia-Paccini, Ahumada & Moreno-González, 2018",NA,"Colombia","South America","New World","Botanical Garden 'Guillermo Piñeres', Turbaco, Bolívar, Colombia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Piaroa, Manzanilla, Giupponi & Tourinho 2008","P. villarreali, Armas & Delgado-Santa, 2012b",NA,"Colombia","South America","New World","Path in San Eugenio, La Celia, Risaralda, Colombia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Piaroa, Manzanilla, Giupponi & Tourinho 2008","P. virichaj, Villarreal, Giupponi & Tourinho, 2008",NA,"Venezuela","South America","New World","Tobogán de la Selva, Amazonas, Venezuela"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Piaroa, Manzanilla, Giupponi & Tourinho 2008","P. youngi, Armas & Víquez, 2010",NA,"Costa Rica","Central America","New World","Finca de Alberto Moore, Hone Creek, Limón, Costa Rica"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Pinero, Teruel 2018","P. marmoreus, Teruel, 2018",NA,"Cuba","Caribbean","New World","Northern tip of Sierra Chiquita, Isla de Pinos, Isla de la Juventud, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Reddellzomus, Armas 2002a","R. cubensis, Armas, 2002a",NA,"Cuba","Caribbean","New World","Cueva Fuentes, Galería de Sifón, Ceja de Francisco, Minas de Matahambre, Pinar del Río, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995"," † R. velteni, Krüger & Dunlop, 2010",NA,"Cuba","Caribbean","New World","Dominican amber, Hispaniola, Miocene"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. abeli, Armas, 2002b",NA,"Cuba","Caribbean","New World","Outside Cueva Grande, Cayo Caguanes, Yaguajay, Sancti Spíritus, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. alayoni, (Armas 1989)","Schizomus gladiger, Rowland & Reddell, 1979a (misidentification); Schizomus alayoni, Armas, 1989","Cuba","Caribbean","New World","Vicinity of El Morro, Santiago de Cuba, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. anasilviae, (Armas & Abud Antun 1990)","Schizomus anasilviae, Armas & Abud Antun, 1990","Dominican Republic","Caribbean","New World","La Laguna, Montería, Baní, Peravia, Dominican Republic"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. arduus, Armas, Villarreal & Colmenares-García, 2009",NA,"Venezuela","South America","New World","Cerro Galicia, Sierra de San Luis, Falcón, Venezuela"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. baracoae, (Armas 1989)","Schizomus baracoae, Armas, 1989","Cuba","Caribbean","New World","Cueva de Majana, Majana, Baracoa, Guantánamo, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. biconourus, (Rowland & Reddell 1979a)","Schizomus biconourus, Rowland & Reddell, 1979a","Cuba","Caribbean","New World","Cienfuegos, Soledad, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. candidae, Teruel, Armas & Rodríguez, 2012",NA,"Cuba","Caribbean","New World","Entre El Copey y la Loma del Vigiá, Placetas, Villa Clara, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. casabito, (Armas & Abud Antun 1990)","Schizomus casabito, Armas & Abud Antun, 1990","Dominican Republic","Caribbean","New World","Carreterra a Casabito, Constanza, La Vega, Dominican Republic"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. chinoi, Armas, 2010b","Schizomus sp., Camilo & Cokendolpher, 1988","Puerto Rico","Caribbean","New World","Cueva Oscura, Sistema Subterráneo Aguas Buenas, Aguas Buenas, Puerto Rico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. cousinensis, (Rowland & Reddell 1979a)","Schizomus cousinensis, Rowland & Reddell, 1979a","Jamaica","Caribbean","New World","Cousin's Cove Cave No. 1, Cousin's Cove, Hanover Parish, Jamaica"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. cubanacan, (Armas 1989)","Schizomus cubanacan, Armas, 1989","Cuba","Caribbean","New World","Manacal and Cueva del Veterano, Trinidad, Sancti Spíritus, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. cupeyalensis, Armas, 2002b",NA,"Cuba","Caribbean","New World","Cupeyal del Norte, Yateras, Guantánamo, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. desecheo, (Rowland & Reddell 1979a)","Schizomus desecheo, Rowland & Reddell, 1979a; Camilo & Cokendolpher, 1988","Puerto Rico","Caribbean","New World","Desecheo Island, Puerto Rico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. ducoudrayi, (Armas & Abud Antun 1990)","Schizomus ducoudrayi, Armas & Abud Antun, 1990","Dominican Republic","Caribbean","New World","Rincón Naranjo, Los Haitises, Comatillo, Bayaguana, Monte Plata, Dominican Republic"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. dumitrescoae, (Rowland & Reddell 1979a)","Schizomus dumitrescoae, Rowland & Reddell, 1979a; Rowlandius prope dumitrescoae, Armas & Víquez, 2010","Costa Rica","Central America","New World","Coto, Puntarenas, Costa Rica"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. engombe, Armas & Abud Antun, 2002",NA,"Dominican Republic","Caribbean","New World","Engombe, Santo Domingo, Distrito Nacional, Dominican Republic"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. falcifemur, Teruel, 2003",NA,"Cuba","Caribbean","New World","Cueva de los Murciélagos, Juraguá, Santiago de Cuba, Santiago de Cuba, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. florenciae, Teruel, 2003",NA,"Cuba","Caribbean","New World","1 km N of Florencia, Florencia, Ciego de Ávila, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. gladiger, (Dumitresco 1977)","Schizomus gladiger, Dumitresco, 1977; Armas, 1989","Cuba","Caribbean","New World","Cueva de Banega, vallée de la rivière Río Mogote, ca 2 km from Matías, Oriente, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. gracilis, Teruel, 2004",NA,"Cuba","Caribbean","New World","La Cantera, Julio Antonio Mella, Santiago de Cuba, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. guama, Teruel & Armas, 2012",NA,"Cuba","Caribbean","New World","Playa Blanca, Sevilla, Guamá, Santiago de Cuba, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. guamuhaya, Teruel, Armas & Rodríguez, 2012",NA,"Cuba","Caribbean","New World","Monumento a Alberto Delgado, Trinidad, Sancti Spíritus, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. guantanamero, Teruel, 2004",NA,"Cuba","Caribbean","New World","1 km N of Río Frío, Nicito Pérez, Guantánamo, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. insignis, (Hansen in Hansen & Sørensen 1905)","Schizomus insignis, Hansen in Hansen & Sørensen, 1905; Rowland & Reddell, 1979","Martinique","Caribbean","New World","Martinique"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. isabel, Armas & Abud Antun, 2002",NA,"Dominican Republic","Caribbean","New World","Loma Isabel de Torre, Puerto Plata, Puerto Plata, Dominican Republic"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. jarmillae, Armas & Cokendolpher, 2001",NA,"Dominican Republic","Caribbean","New World","Cueva El Pomier No.2, near Borbón, San Cristóbal, Dominican Republic"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. labarcae, (Armas 1989)","Schizomus labarcae, Armas, 1989","Cuba","Caribbean","New World","Cueva La Barca, Península de Guanahacabibes, Sandino, Pinar del Río, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. lantiguai, (Armas & Abud Antun 1990)","Schizomus lantiguai, Armas & Abud Antun, 1990","Dominican Republic","Caribbean","New World","Los Conucos, Guayacanes, San Pedro de Macorís, Dominican Republic"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. linsduarteae, Santos, Dias, Brescovit & Santos, 2008",NA,"Brazil","South America","New World","Área de Proteção Permanente Mata do Buraquinho, João Pessoa, Paraíba, Brazil"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. littoralis, Teruel, 2003",NA,"Cuba","Caribbean","New World","Baconao, Playa Verraco, Santiago de Cuba, Santiago de Cuba, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. longipalpus, (Rowland & Reddell 1979a)","Schizomus longipalpus, Rowland & Reddell, 1979a","Haiti","Caribbean","New World","La Vestite, Haiti"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. marianae, Teruel, 2003",NA,"Cuba","Caribbean","New World","Tortoguilla, San Antonia del Sur, Guantánamo, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. martinezi, Teruel, 2012",NA,"Cuba","Caribbean","New World","Cueva La Caída, Dos Arroyos, Trinidad, Sancti Spíritus, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. melici, Teruel, 2003",NA,"Cuba","Caribbean","New World","Baconao, Sigua, Santiago de Cuba, Santiago de Cuba, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. mixtus, Teruel, 2004",NA,"Cuba","Caribbean","New World","Baconao, Playa Verraco, Santiago de Cuba, Santiago de Cuba, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. moa, Armas, 2004b",NA,"Cuba","Caribbean","New World","500 m SE of the nickel factory 'Ernesto Che Guevara', Moa, Holguín, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. monensis, (Rowland & Reddell 1979a)","Schizomus monensis, Rowland & Reddell, 1979a; Camilo & Cokendolpher, 1988","Puerto Rico","Caribbean","New World","Cueva del Agua, Mona Island, Puerto Rico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. monticola, Armas, 2002b","Schizomus sp., Armas, 1989 (25, 41, fig. 10b)","Cuba","Caribbean","New World","La Isabelica, 3 km SE of La Gran Piedra, Santiago de Cuba, Santiago de Cuba, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. naranjo, (Armas & Abud Antun 1990)","Schizomus naranjo, Armas & Abud Antun, 1990","Dominican Republic","Caribbean","New World","El Naranjo, Los Haitises, Sánchez, Samaná, Dominican Republic"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. negreai, (Dumitresco 1973)","Schizomus negreai, Dumitresco, 1973; Armas, 1989","Cuba","Caribbean","New World","Cueva Cuatrocientas Rosas, no.2 (=Cueva del Hoyito), Banes, Holguín, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. peckorum, (Rowland & Reddell 1979a)","Schizomus peckorum, Rowland & Reddell, 1979a","Jamaica","Caribbean","New World","Windsor Great Cave, Windsor, 10 miles S of Falmouth, Trelawney Parish, Jamaica"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. pedrosoi, Giupponi, Miranda & Villarreal, 2016",NA,"Brazil","South America","New World","Gruta P-08, Santa Quitéria, Ceará, Brazil"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. potiguar, Santos, Ferreira & Buzatto, 2013",NA,"Brazil","South America","New World","Gruta da Carrapateira, Felipe Guerra, Rio Grande do Norte, Brazil"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. primibiconourus, (Rowland & Reddell 1979a)","Schizomus primibiconourus, Rowland & Reddell, 1979a","Jamaica","Caribbean","New World","Oxford Cave, Auchtembeddie, Manchester Parish, Jamaica"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. ramosi, Armas, 2002b",NA,"Cuba","Caribbean","New World","Cueva de Falcó, Sistema Subterráneo, María Teresa, NE of Yaguajay, Sancti Spíritus, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. reconditus, Teruel, Armas & Rodríguez, 2012",NA,"Cuba","Caribbean","New World","Cuables entre los embalses Ochoa y Ochoíta, Santa Clara, Villa Clara, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. recuerdo, (Armas 1989)","Schizomus recuerdo, Armas, 1989","Cuba","Caribbean","New World","4 km S of Topes de Collantes, Trinidad, Sancti Spíritus, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. reyesi, Teruel, 2000",NA,"Cuba","Caribbean","New World","Santa Rosa, 2 km W de Sabana, Maisí, Guantánamo, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. rociogarciae, Delgado-Santa & Armas, 2013",NA,"Colombia","South America","New World","Vereda La Secreta, La Celia, Risaralda , Colombia"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. serrano, Teruel, 2003",NA,"Cuba","Caribbean","New World","Lomas, 200 m NE of El Cobre, Santiago de Cuba, Santiago de Cuba, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. siboney, Armas, 2002b",NA,"Cuba","Caribbean","New World","Cueva Atabex, Siboney, Santiago de Cuba, Santiago de Cuba, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. solanllyae, Teruel, 2021",NA,"Dominican Republic","Caribbean","New World","Cueva de los Murciélagos, Sistema Subterráneo La Escalera, Monumento Natural Lagunas Caberete y Goleta, Cabarete, Sosúa, Puerto Plata, Dominican Republic"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. steineri, Armas, 2001",NA,"Haiti","Caribbean","New World","Forest west of Lighthouse, Navassa Island"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. sul, Cokendolpher & Reddell, 2000a",NA,"Brazil","South America","New World","Belém, Pará, Brazil"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. terueli, Armas, 2002b",NA,"Cuba","Caribbean","New World","Ca. 1 km W of playa de Juraguá, Santiago de Cuba, Santiago de Cuba, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. toldo, Armas, 2002b",NA,"Cuba","Caribbean","New World","El Toldo plateau, Moa, Holguín, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. tomasi, Armas, 2007",NA,"Cuba","Caribbean","New World","Cueva Los Manantiales-Tito, Los Manantiales, Guamuhaya, Manicaragua, Villa Clara, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. ubajara, Santos, Ferreira & Buzatto, 2013",NA,"Brazil","South America","New World","Gruta de Ubajara, Parque Nacional de Ubajara, Ceará, Brazil"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R.ufbi, Silva, Santos & Carvalho, 2024",NA,"Brazil","South America","New World","Riverine forest along the Parnaíba River margins, Fazenda do Colégio Técnico de Floriano, Floriano, Piauí, Brazil"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. vinai, Teruel, 2003",NA,"Cuba","Caribbean","New World","La Puya, Tercer Frente, Santiago de Cuba, Cuba"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. viquezi, Armas, 2009",NA,"Costa Rica","Central America","New World","OTS La Selva, 3 km S of Puerto Viejo, Zona protectora La Selva, Sarapiquí, Heredia, Costa Rica"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. virginiae, Armas & Abud Antun, 2002",NA,"Dominican Republic","Caribbean","New World","3.5 km N of Guayabal, Postrer Río, Independencia, Dominican Republic"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Rowlandius, Reddell & Cokendolpher 1995","R. viridis, (Rowland & Reddell 1979a)","Schizomus viridis, Rowland & Reddell, 1979a","Jamaica","Caribbean","New World","Abbey Cave, 2.5 miles SW of Mandeville, Manchester Parish, Jamaica"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Schizomus, Cook 1899","S. africanus, (Hansen in Hansen & Sørensen 1905)","Trithyreus africanus, Hansen in Hansen & Sørensen, 1905","Sierra Leone","Western Africa","Old World","Freetown, Western Area, Sierra Leone"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Schizomus, Cook 1899","S. arganoi, Brignoli, 1973",NA,"Mexico","Mexico","New World","Cueva de la Golondrina, Chiapas, Mexico"
"Hubbardiidae, Cook 1899","Hubbardiinae, Cook 1899","Schizomus, Cook 1899","S. arunachalicus, Bastawade, 2006",NA,"India","Southern Asia","Old World","Miao, Changlang, Arunachal Pradesh, India"
